"date_id","origin_id","type_id","tag_id","count"
1239,0,6,35,1
1239,0,33,35,1
1239,784,0,431,1
1582,10,17,1214,1
1583,603,12,353,1
1583,603,3,353,1
1583,295,17,364,1
1584,295,0,1215,1
1584,10,0,1216,1
1585,944,16,1217,1
1586,945,12,1218,1
1586,946,0,1219,1
1581,943,6,838,1
1587,0,0,1148,1
1588,714,0,1221,1
1589,947,13,171,1
1590,0,17,224,1
1591,120,0,1143,1
1591,295,0,4,1
1592,10,0,1222,1
1593,2,6,1223,1
1594,210,13,1224,1
1595,120,0,1225,1
1588,295,0,1220,1
1581,942,6,1213,1
1580,210,0,534,1
1579,276,17,363,1
1561,935,0,1203,1
1562,120,19,816,1
1563,936,10,242,1
1564,295,0,334,1
1565,937,0,1204,1
1566,723,13,804,1
1567,908,12,1205,1
1568,220,13,1206,1
1569,276,0,1207,1
1570,295,0,1208,1
1570,10,0,39,1
1571,714,0,804,1
1572,120,8,1209,1
1573,938,13,1210,1
1574,939,0,1211,1
1575,120,0,18,1
1576,940,6,1212,1
1576,10,22,1042,1
1577,295,0,962,1
1578,120,8,209,1
1579,941,0,206,1
1595,947,13,1226,1
1596,295,0,703,1
1597,948,6,1227,1
1598,949,8,1228,1
1611,959,17,534,1
1612,714,0,1029,1
1613,675,6,968,1
1613,656,13,1240,1
1614,365,13,862,1
1614,2,0,18,1
1615,960,8,209,1
1615,2,0,5,1
1616,11,0,548,1
1617,276,0,1241,1
1617,753,22,1061,1
1618,295,0,860,1
1619,961,0,1215,1
1620,962,0,1240,1
1621,210,0,534,1
1622,276,0,363,1
1623,0,30,768,1
1623,295,7,1242,1
1623,10,8,1243,1
1624,963,22,1244,1
1625,964,13,1245,1
1611,959,6,534,1
1560,934,0,228,1
1610,958,0,1150,1
1609,956,17,1239,1
1599,295,2,364,1
1599,295,18,364,1
1600,112,6,1229,1
1600,112,5,1229,1
1600,112,12,1229,1
1600,112,3,1229,1
1600,112,4,1229,1
1600,112,10,1229,1
1601,950,13,1230,1
1601,295,0,1231,1
1601,2,3,23,1
1601,2,4,23,1
1602,951,8,1232,1
1603,10,0,1233,1
1604,2,12,58,1
1605,952,16,1234,1
1605,953,0,1235,1
1606,954,0,580,1
1607,955,6,1236,1
1608,120,2,1237,1
1608,833,13,1238,1
1609,957,0,228,1
1559,933,3,4,1
1558,0,0,1202,1
1557,10,8,1201,1
1506,910,0,1157,1
1506,295,0,1158,1
1507,714,0,1159,1
1508,911,2,703,1
1509,120,13,1160,1
1509,295,16,1161,1
1510,900,0,230,1
1511,2,6,1162,1
1512,912,28,1163,1
1512,912,11,1163,1
1512,912,12,1163,1
1513,2,13,1164,1
1514,295,0,1165,1
1515,913,4,1166,1
1516,10,0,1167,1
1517,2,12,1029,1
1517,2,4,1029,1
1518,2,0,153,1
1519,914,13,251,1
1520,915,0,1168,1
